,fsq_id,categories,chains,closed_bucket,distance,geocodes,link,location,name,related_places,timezone
0,eb05671b63454fa22c42f766,"[{'id': 10001, 'name': 'Amusement Park', 'short_name': 'Amusement Park', 'plural_name': 'Amusement Parks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/themepark_', 'suffix': '.png'}}, {'id': 11036, 'name': 'Entertainment Service', 'short_name': 'Entertainment Service', 'plural_name': 'Entertainment Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 18039, 'name': 'Race Track', 'short_name': 'Race Track', 'plural_name': 'Race Tracks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/racetrack_', 'suffix': '.png'}}]",[],LikelyOpen,133,"{'main': {'latitude': 40.391774, 'longitude': -3.903343}}",/v3/places/eb05671b63454fa22c42f766,"{'address': 'Carretera M-501, Km 6', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Carretera M-501, Km 6, Boadilla del Monte Comunidad de Madrid', 'locality': 'Boadilla del Monte', 'region': 'Comunidad de Madrid'}",Karting Asupark,{},Europe/Madrid
1,4ca7656997c8a1cd63de79a5,"[{'id': 18039, 'name': 'Race Track', 'short_name': 'Race Track', 'plural_name': 'Race Tracks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/racetrack_', 'suffix': '.png'}}]",[],LikelyOpen,2621,"{'main': {'latitude': 40.391699, 'longitude': -3.903451}}",/v3/places/4ca7656997c8a1cd63de79a5,"{'address': 'Carretera Villaviciosa-Boadilla M-511, Km 6', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'cross_street': '', 'formatted_address': 'Carretera Villaviciosa-Boadilla M-511, Km 6, 28670 Villaviciosa de Odón Madrid', 'locality': 'Villaviciosa de Odón', 'postcode': '28670', 'region': 'Madrid'}",Karting Asupark,{},Europe/Madrid
2,4c8cc8d3cf3ea1437a26f851,"[{'id': 18039, 'name': 'Race Track', 'short_name': 'Race Track', 'plural_name': 'Race Tracks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/racetrack_', 'suffix': '.png'}}]",[],VeryLikelyOpen,2766,"{'main': {'latitude': 40.756348, 'longitude': -3.600688}}",/v3/places/4c8cc8d3cf3ea1437a26f851,"{'address': 'Carretera Burgos, Km 45,8', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'cross_street': '', 'formatted_address': 'Carretera Burgos, Km 45,8, 28723 Pedrezuela Madrid', 'locality': 'Pedrezuela', 'postcode': '28723', 'region': 'Madrid'}",Karting Angel Burgueño,{},Europe/Madrid
3,4c8cc8d3cf3ea1437a26f851,"[{'id': 18039, 'name': 'Race Track', 'short_name': 'Race Track', 'plural_name': 'Race Tracks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/racetrack_', 'suffix': '.png'}}]",[],VeryLikelyOpen,1259,"{'main': {'latitude': 40.756348, 'longitude': -3.600688}}",/v3/places/4c8cc8d3cf3ea1437a26f851,"{'address': 'Carretera Burgos, Km 45,8', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'cross_street': '', 'formatted_address': 'Carretera Burgos, Km 45,8, 28723 Pedrezuela Madrid', 'locality': 'Pedrezuela', 'postcode': '28723', 'region': 'Madrid'}",Karting Angel Burgueño,{},Europe/Madrid
4,53fb7963498e41f50c294aea,"[{'id': 10019, 'name': 'Go Kart Track', 'short_name': 'Go Kart', 'plural_name': 'Go Kart Tracks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/racetrack_', 'suffix': '.png'}}]",[],VeryLikelyOpen,793,"{'main': {'latitude': 40.34727, 'longitude': -3.53541}, 'roof': {'latitude': 40.34727, 'longitude': -3.53541}}",/v3/places/53fb7963498e41f50c294aea,"{'address': 'Calle de la Fundición, 89', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'cross_street': 'La Tuerca', 'formatted_address': 'Calle de la Fundición, 89 (La Tuerca), 28522 Rivas-Vaciamadrid Comunidad de Madrid', 'locality': 'Rivas-Vaciamadrid', 'postcode': '28522', 'region': 'Comunidad de Madrid'}",KartingRivas,{},Europe/Madrid
5,61b4d5c3ef4d42952f242537,"[{'id': 18000, 'name': 'Sports and Recreation', 'short_name': 'Sports and Recreation', 'plural_name': 'Sports and Recreation', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_', 'suffix': '.png'}}]",[],LikelyOpen,801,"{'main': {'latitude': 40.347078, 'longitude': -3.535109}, 'roof': {'latitude': 40.347078, 'longitude': -3.535109}}",/v3/places/61b4d5c3ef4d42952f242537,"{'address': 'Calle la Tuerca, 6 Bajo', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle la Tuerca, 6 Bajo, 28522 Rivas-Vaciamadrid Comunidad de Madrid', 'locality': 'Rivas-Vaciamadrid', 'postcode': '28522', 'region': 'Comunidad de Madrid'}",Karting Rivas,{},Europe/Madrid
6,2dfcca2c280d48380098da15,"[{'id': 18000, 'name': 'Sports and Recreation', 'short_name': 'Sports and Recreation', 'plural_name': 'Sports and Recreation', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_', 'suffix': '.png'}}]",[],Unsure,1690,"{'drop_off': {'latitude': 40.500597, 'longitude': -3.893595}, 'main': {'latitude': 40.500581, 'longitude': -3.893405}, 'roof': {'latitude': 40.500581, 'longitude': -3.893405}}",/v3/places/2dfcca2c280d48380098da15,"{'address': 'Calle V, s/n', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle V, s/n, 28230 Las Rozas de Madrid Madrid', 'locality': 'Las Rozas de Madrid', 'postcode': '28230', 'region': 'Madrid'}",Diver Karting,{},
7,11602032fd4648695a22e70c,"[{'id': 18037, 'name': 'Paintball Field', 'short_name': 'Paintball Field', 'plural_name': 'Paintball Fields', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}}]",[],Unsure,1767,"{'main': {'latitude': 40.500739, 'longitude': -3.894336}, 'roof': {'latitude': 40.500739, 'longitude': -3.894336}}",/v3/places/11602032fd4648695a22e70c,"{'address': 'Calle Bruselas, 3', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Bruselas, 3, 28232 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28232', 'region': 'Madrid'}",Karting y Paintball Madrid,{},
8,81a73826a5cb4196515f7d48,"[{'id': 11038, 'name': 'Event Service', 'short_name': 'Event Services', 'plural_name': 'Event Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/event/default_', 'suffix': '.png'}}, {'id': 18000, 'name': 'Sports and Recreation', 'short_name': 'Sports and Recreation', 'plural_name': 'Sports and Recreation', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_', 'suffix': '.png'}}]",[],LikelyOpen,1774,"{'main': {'latitude': 40.501515, 'longitude': -3.893857}, 'roof': {'latitude': 40.501515, 'longitude': -3.893857}}",/v3/places/81a73826a5cb4196515f7d48,"{'address': 'Calle Bruselas Polígono Industrial Európolis, 10 Bajo', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Bruselas Polígono Industrial Európolis, 10 Bajo, 28232 Las Rozas de Madrid Madrid', 'locality': 'Las Rozas de Madrid', 'postcode': '28232', 'region': 'Madrid'}",Diver Karting,{},
9,c2c652640fa54af6b067f703,"[{'id': 11036, 'name': 'Entertainment Service', 'short_name': 'Entertainment Service', 'plural_name': 'Entertainment Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",[],LikelyOpen,3810,"{'main': {'latitude': 40.494251, 'longitude': -3.250199}, 'roof': {'latitude': 40.494251, 'longitude': -3.250199}}",/v3/places/c2c652640fa54af6b067f703,"{'address': 'Canal de Isabel II, Km 1', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Canal de Isabel II, Km 1, 28817 Los Santos de la Humosa Comunidad de Madrid', 'locality': 'Los Santos de la Humosa', 'postcode': '28817', 'region': 'Comunidad de Madrid'}",Karting Club los Santos,{},Europe/Madrid
