Nombre,Direccion,Latitud,Longitud
acebeda-la,"La Acebeda, Comunidad de Madrid, España",41.0869583,-3.624399
ajalvir,"Ajalvir, Comunidad de Madrid, 28864, España",40.5342302,-3.4807818
alameda-del-valle,"Alameda del Valle, Comunidad de Madrid, España",40.9177178,-3.8438216
alamo-el,"El Álamo, Comunidad de Madrid, 28607, España",40.2307296,-3.9905893
alcala-de-henares,"Alcalá de Henares, Comunidad de Madrid, España",40.4818396,-3.3644973
alcobendas,"Alcobendas, Comunidad de Madrid, España",40.5400082,-3.6358494
alcorcon,"Alcorcón, Comunidad de Madrid, España",40.3492998,-3.8284295
aldea-del-fresno,"Aldea del Fresno, Comunidad de Madrid, 28620, España",40.3215212,-4.19936
algete,"Algete, Comunidad de Madrid, España",40.5961652,-3.4974246
alpedrete,"Alpedrete, Comunidad de Madrid, España",40.6599005,-4.0251223
ambite,"Ambite, Comunidad de Madrid, España",40.3289723,-3.1812115
anchuelo,"Anchuelo, Comunidad de Madrid, 28818, España",40.4653862,-3.2689196
aranjuez,"Aranjuez, Comunidad de Madrid, 28300, España",40.03221,-3.6039604
arganda-del-rey,"Arganda del Rey, Comunidad de Madrid, 28500, España",40.3007708,-3.4380688
arroyomolinos,"Arroyomolinos, Comunidad de Madrid, 28939, España",40.2729225,-3.9157978
atazar-el,"El Atazar, Comunidad de Madrid, 28189, España",40.9343489,-3.4710919
batres,"Batres, Comunidad de Madrid, España",40.2091393,-3.9215947
becerril-de-la-sierra,"Becerril de la Sierra, Comunidad de Madrid, 28490, España",40.7163374,-3.9890681
belmonte-de-tajo,"Belmonte de Tajo, Comunidad de Madrid, 28390, España",40.1336305,-3.3398654
berrueco-el,"El Berrueco, Comunidad de Madrid, 28192, España",40.8889705,-3.5614344
berzosa-del-lozoya,"Berzosa del Lozoya, Comunidad de Madrid, España",40.9757802,-3.5236736
boadilla-del-monte,"Boadilla del Monte, Comunidad de Madrid, España",40.4053485,-3.8764663
boalo-el,"El Boalo, Comunidad de Madrid, España",40.7173359,-3.9202198
braojos,"Braojos, Comunidad de Madrid, España",41.0400124,-3.6425888
brea-de-tajo,"Brea de Tajo, Comunidad de Madrid, España",40.2302134,-3.1092543
brunete,"Brunete, Comunidad de Madrid, 28690, España",40.4050499,-3.9979912
buitrago-del-lozoya,"Buitrago del Lozoya, Comunidad de Madrid, 28730, España",40.9953477,-3.6350501
bustarviejo,"Bustarviejo, Comunidad de Madrid, 28720, España",40.8587766,-3.7097632
cabanillas-de-la-sierra,"Cabanillas de la Sierra, Comunidad de Madrid, 28729, España",40.8216089,-3.6259742
cabrera-la,"Cabrera Lane, Talofofo, Talo’fo’fo’ Municipality, Guam, United States",13.3472446,144.7586507
cadalso-de-los-vidrios,"Cadalso de los Vidrios, Comunidad de Madrid, España",40.3014283,-4.4408876
camarma-de-esteruelas,"Camarma de Esteruelas, Comunidad de Madrid, 28816, España",40.5497252,-3.3785043
campo-real,"Campo Real, Comunidad de Madrid, 28510, España",40.3381881,-3.3813911
canencia,"Canencia, Comunidad de Madrid, España",40.9095894,-3.7375609
carabana,"Carabaña, Comunidad de Madrid, 28560, España",40.256626,-3.2347206
casarrubuelos,"Casarrubuelos, Comunidad de Madrid, 28977, España",40.1707803,-3.8308526
cenicientos,"Cenicientos, Comunidad de Madrid, 28650, España",40.2631894,-4.4669801
cercedilla,"Cercedilla, Comunidad de Madrid, España",40.7412931,-4.0558002
cervera-de-buitrago,"Cervera de Buitrago, Comunidad de Madrid, España",40.9211319,-3.5293404
chapineria,"Chapinería, Comunidad de Madrid, 28694, España",40.379164,-4.2097254
chinchon,"Chinchón, Comunidad de Madrid, 28370, España",40.1408293,-3.4231474
ciempozuelos,"Ciempozuelos, Comunidad de Madrid, 28350, España",40.1580087,-3.6205514
cobena,"Cobeña, Comunidad de Madrid, 28863, España",40.5676083,-3.5048565
collado-mediano,"Collado Mediano, Comunidad de Madrid, España",40.6943707,-4.0247212
collado-villalba,"Collado Villalba, Comunidad de Madrid, España",40.6431496,-3.9930128
colmenar-del-arroyo,"Colmenar del Arroyo, Comunidad de Madrid, 28213, España",40.4179997,-4.1972768
colmenar-de-oreja,"Colmenar de Oreja, Comunidad de Madrid, 28380, España",40.1074198,-3.3871634
colmenarejo,"Colmenarejo, Comunidad de Madrid, España",40.5607257,-4.0165248
colmenar-viejo,"Colmenar Viejo, Comunidad de Madrid, España",40.6587726,-3.7659722
corpa,"Corpa, Comunidad de Madrid, España",40.4235374,-3.2652482
coslada,"Coslada, Comunidad de Madrid, España",40.423802,-3.5552882
cubas-de-la-sagra,"Cubas de la Sagra, Comunidad de Madrid, 28978, España",40.1908352,-3.8378366
daganzo-de-arriba,"Daganzo de Arriba, Comunidad de Madrid, 28814, España",40.5451953,-3.45785
escorial-el,"Real Monasterio de San Lorenzo de El Escorial, Patio de los Evangelistas, San Lorenzo de El Escorial, Comunidad de Madrid, 28200, España",40.5890661,-4.147394873409854
estremera,"Estremera, Comunidad de Madrid, 28595, España",40.1847306,-3.1062403
fresnedillas-de-la-oliva,"Fresnedillas de la Oliva, Comunidad de Madrid, 28214, España",40.486444,-4.1723486
fresno-de-torote,"Fresno de Torote, Comunidad de Madrid, España",40.5922684,-3.4119681
fuenlabrada,"Fuenlabrada, Comunidad de Madrid, España",40.282476,-3.7923422
fuente-el-saz-de-jarama,"Fuente el Saz de Jarama, Comunidad de Madrid, 28140, España",40.6312151,-3.5125918
fuentiduena-de-tajo,"Fuentidueña de Tajo, Comunidad de Madrid, 28597, España",40.1185446,-3.160254
galapagar,"Galapagar, Comunidad de Madrid, España",40.5774992,-4.0037748
